id,name,year,rating,certificate,duration,genre,votes,gross_income,directors_id,directors_name,stars_id,stars_name,description
tt0329934,Sue Thomas: F.B.Eye,(2002–2005),7.3,TV-PG,60 min,"Crime, Drama, Mystery","2,243","541,457",Anonymous,nm0000000,"nm0106207,nm0084370,nm0676648,nm0326928","Deanne Bray,Yannick Bisson,Rick Peters,Marc Gomes","Sue Thomas: F.B.Eye follows the adventures of Sue Thomas at the FBI in Washington, D.C."
tt5257744,American Gothic,(2016),6.7,TV-14,40 min,"Crime, Drama, Mystery","4,520","541,457",Anonymous,nm0000000,"nm1628115,nm1102278,nm0154226,nm3430569","Juliet Rylance,Antony Starr,Justin Chatwin,Megan Ketch",The members of a prominent Boston family suspect that one of their own is working with an infamous serial killer.
tt0068044,Banacek,(1972–1974),7.7,TV-PG,90 min,"Crime, Drama, Mystery","1,893","541,457",Anonymous,nm0000000,"nm0000577,nm0544382,nm0558569,nm0067785","George Peppard,Ralph Manza,Murray Matheson,Christine Belford",The adventures of proud Polish-American freelance insurance investigator Thomas Banacek.
tt1910645,The Woods,(2020),6.6,TV-MA,306 min,"Crime, Drama, Mystery","6,280","541,457",Anonymous,nm0000000,"nm0198812,nm1377449,nm9308736,nm8416650","Grzegorz Damiecki,Agnieszka Grochowska,Hubert Milkowski,Wiktoria Filus","In Warsaw, a prosecutor's hopes rise after a body is found and linked to his sister's disappearance 25 years earlier."
tt6051216,Içerde,(2016–2017),8.1,TV-14,60 min,"Action, Crime, Drama","18,078","541,457",Anonymous,nm0000000,"nm4293138,nm4199420,nm1002038,nm2775648","Çagatay Ulusoy,Aras Bulut Iynemli,Çetin Tekindor,Nihal G. Koldas","A story of two brothers torn from each other. Now on the opposite sides of the law, brothers Sarp and Mert are put against each other, unaware of their fraternity."
tt7216636,Hazbin Hotel,(2019– ),7.6,TV-MA,32 min,"Animation, Comedy, Crime","4,301","541,457",Anonymous,nm0000000,"nm5211886,nm4716053,nm7693469,nm5929891","Jill Harris,Elsie Lovelock,Michael Kovach,Monica Franco","In attempt to find a non-violent alternative for reducing Hell's overpopulation, the daughter of Lucifer opens a rehabilitation hotel that offers a group of misfit demons a chance at redemption."
tt0096193,Sunset,(1988),5.7,R,102 min,"Crime, Mystery, Thriller",4242,"4,594,452",nm0001175,Blake Edwards,"nm0000246,nm0001258,nm0000532,nm0000446","Bruce Willis,James Garner,Malcolm McDowell,Mariel Hemingway",Tom Mix and Wyatt Earp team up to solve a murder at the Academy Awards in 1929 Hollywood.
tt0092549,Miami Connection,(1987),5.6,R,87 min,"Action, Crime, Music","5,647","4,594,452","nm0661919,nm0453723","Woo-sang Park,Y.K. Kim","nm0453723,nm1687791,nm1693504,nm6234660","Y.K. Kim,Vincent Hirsch,Joseph Diamand,Maurice Smith",A martial arts rock band goes up against a band of motorcycle ninjas who have tightened their grip on Florida's narcotics trade.
tt8108198,Andhadhun,(2018),8.2,Not Rated,139 min,"Comedy, Crime, Music",89990,"1,373,943",nm1437189,Sriram Raghavan,"nm4731677,nm0007102,nm2331000,nm0223521","Ayushmann Khurrana,Tabu,Radhika Apte,Anil Dhawan","A series of mysterious events change the life of a blind pianist, who must now report a crime that he should technically know nothing of."
tt0098282,"See No Evil, Hear No Evil",(1989),6.8,R,103 min,"Comedy, Crime",54207,"46,908,987",nm0002137,Arthur Hiller,"nm0001640,nm0000698,nm0000220,nm0000228","Richard Pryor,Gene Wilder,Joan Severance,Kevin Spacey","Dave is deaf, and Wally is blind. They witness a murder, but it was Dave who was looking at her, and Wally who was listening."
